Peak_X,Peak_Y,Peak_Z,Topic_Assignment,Subregion_Assignment
32,18,-1,47,1
-44,12,22,89,2
-55,3,20,50,2
33,19,-2,2,1
35,41,25,39,2
-39,32,29,59,2
-37,44,20,89,2
-33,44,20,89,2
35,28,29,47,1
-42,17,22,89,2
32,28,28,39,2
-42,30,28,59,2
39,41,22,47,1
-36,29,30,59,2
38,51,-9,47,1
38,20,5,51,2
-31,22,8,89,2
-38,-4,34,89,2
-30,-60,38,81,1
-15,-11,19,39,1
34,30,34,39,2
41,0,38,39,2
23,-4,54,66,1
30,-53,41,81,2
8,-19,15,48,2
0,4,53,79,1
-30,-11,49,79,1
-19,-71,41,79,2
-26,19,11,26,2
-8,-11,11,9,1
34,23,34,39,1
38,0,38,39,2
23,-8,53,79,1
15,-68,41,79,2
8,-71,45,79,2
4,-11,8,39,1
0,4,53,81,2
44,-20,-4,32,2
-54,-22,-4,28,2
46,-58,-8,35,1
-48,-40,-16,75,1
48,-30,-20,70,2
-24,-84,-4,44,2
-44,-70,-8,86,2
14,-82,-8,24,1
-10,-82,-6,24,1
10,-82,-6,24,1
-42,-70,-6,43,1
-34,-48,10,90,1
-52,-56,-6,43,1
-42,-36,-16,75,1
0,30,-6,93,2
0,-28,-2,76,1
4,30,34,76,1
-4,32,20,93,2
0,-52,-20,90,2
-37,-63,-22,43,1
34,-50,-22,95,1
30,-50,-26,99,1
14,-82,-8,90,2
-10,-82,-6,24,1
-44,-66,-6,43,1
-42,-58,6,90,1
40,-48,-24,95,1
4,-58,-4,90,2
-24,-66,56,44,1
26,-66,36,100,1
-30,-62,44,44,1
34,-62,50,100,1
-26,-64,64,44,1
28,-66,60,100,1
-30,-60,54,44,1
20,-74,52,100,1
-28,-68,40,44,1
36,-68,28,100,1
-28,-68,46,81,1
30,-50,42,1,1
-22,-58,46,44,1
28,-66,54,100,1
-42,-34,38,44,1
44,-26,40,1,1
-36,-44,34,44,1
-32,-28,58,27,2
-28,-46,40,44,1
30,-46,44,1,1
-38,-34,64,27,2
40,-30,64,100,1
-44,-28,44,44,1
26,16,56,49,2
-40,-34,62,27,2
-40,44,12,82,1
38,38,16,49,2
-34,46,26,12,1
30,42,20,49,2
-44,34,26,66,2
34,30,36,100,2
